timestamp,hash-rate,difficulty
2021-04-28,166461865.14709532,23581981443664.0
2021-04-29,143016532.0277861,23581981443664.0
2021-04-30,169978665.11499172,23581981443664.0
2021-05-01,158954589.9843886,23004465874892.836
2021-05-02,189527186.50027975,20608845737768.0
2021-05-03,181331416.27324066,20608845737768.0
2021-05-04,185429301.3867602,20608845737768.0
2021-05-05,160841990.70564282,20608845737768.0
2021-05-06,174160117.3245814,20608845737768.0
2021-05-07,176209059.88134116,20608845737768.0
2021-05-08,175184588.60296133,20608845737768.0
2021-05-09,190551657.77865964,20608845737768.0
2021-05-10,184404830.1083803,20608845737768.0
2021-05-11,176209059.88134116,20608845737768.0
2021-05-12,176209059.88134116,20608845737768.0
2021-05-13,185896531.25400168,23227330060562.566
2021-05-14,166839065.28467855,25046487590083.0
2021-05-15,153143321.1195184,25046487590083.0
2021-05-16,164348929.98192218,25046487590083.0
2021-05-17,150653185.81676203,25046487590083.0
2021-05-18,124506765.13781983,25046487590083.0
2021-05-19,155633456.42227483,25046487590083.0
2021-05-20,139447576.95435822,25046487590083.0
2021-05-21,136957441.6516018,25046487590083.0
2021-05-22,144427847.55987102,25046487590083.0
2021-05-23,148163050.51400563,25046487590083.0
2021-05-24,156878524.07365298,25046487590083.0
2021-05-25,153143321.1195184,25046487590083.0
2021-05-26,151898253.46814018,25046487590083.0
2021-05-27,145672915.21124923,25046487590083.0
2021-05-28,148163050.51400563,25046487590083.0
2021-05-29,144427847.55987102,25046487590083.0
2021-05-30,151858199.84334671,21214345448186.625
2021-05-31,147526659.02062267,21047730572452.0
2021-06-01,148572947.38247102,21047730572452.0
2021-06-02,173683868.0668324,21047730572452.0
2021-06-03,153804389.191713,21047730572452.0
2021-06-04,137063775.4021388,21047730572452.0
2021-06-05,137063775.4021388,21047730572452.0
2021-06-06,156943254.27725816,21047730572452.0
2021-06-07,139156352.12583557,21047730572452.0
2021-06-08,155896965.91540977,21047730572452.0
2021-06-09,131832333.59289683,21047730572452.0
2021-06-10,123462026.69810976,21047730572452.0
2021-06-11,109860277.9940807,21047730572452.0
2021-06-12,138110063.76398718,21047730572452.0
2021-06-13,136724465.12868512,20836567779802.566
2021-06-14,133766696.2189013,19932791027263.0
2021-06-15,129803238.5531561,19932791027263.0
2021-06-16,121876323.22166562,19932791027263.0
2021-06-17,128812374.13671976,19932791027263.0
2021-06-18,122867187.63810194,19932791027263.0
2021-06-19,102059034.89293952,19932791027263.0
2021-06-20,104040763.72581212,19932791027263.0
2021-06-21,104040763.72581212,19932791027263.0
2021-06-22,90168661.89570382,19932791027263.0
2021-06-23,100077306.0600669,19932791027263.0
2021-06-24,104040763.72581212,19932791027263.0
2021-06-25,108995085.80799364,19932791027263.0
2021-06-26,88186933.06283121,19932791027263.0
2021-06-27,58461000.569742054,19932791027263.0
2021-06-28,86205204.22995861,19932791027263.0
2021-06-29,89177797.47926754,19932791027263.0
2021-06-30,88186933.06283121,19932791027263.0
2021-07-01,94132119.56144907,19932791027263.0
2021-07-02,89177797.47926754,19932791027263.0
2021-07-03,98706076.21227616,15634861856766.197
2021-07-04,82108836.0775171,14363025673660.0
2021-07-05,94246664.01941094,14363025673660.0
2021-07-06,101386562.80876024,14363025673660.0
2021-07-07,87820755.10899657,14363025673660.0
2021-07-08,99244593.17195547,14363025673660.0
2021-07-09,93532674.14047602,14363025673660.0
2021-07-10,114952370.50852396,14363025673660.0
2021-07-11,89248734.86686642,14363025673660.0
2021-07-12,89962724.74580133,14363025673660.0
2021-07-13,97102623.53515066,14363025673660.0
2021-07-14,121378279.41893831,14363025673660.0
2021-07-15,91390704.50367121,14363025673660.0
2021-07-16,107098481.84023969,14363025673660.0
2021-07-17,101997588.09440474,14348541098817.076
2021-07-18,97872242.08868839,13672594272814.0
2021-07-19,115543619.13247934,13672594272814.0
2021-07-20,82919538.43624988,13672594272814.0
